Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
India Opportunities Fund,Huddle Ventures Opportunities Fund,INE03,Mutual Funds - AIF Category III,2750000,2750000,1
India Opportunities Fund,Kat Brands Pvt Ltd,INE04,Mutual Funds - AIF Category III,2000000,2000000,1
India Opportunities Fund,OTP VENTURES FUND,INE06,Mutual Funds - AIF Category III,21000,210000,10
India Opportunities Fund,SAUCE OPPORTUNITY FUND,INE07,Mutual Funds - AIF Category III,3750,375000,100
India Opportunities Fund,SAVORWORKS ARTISANS PRIVATE LIMITED,INE08,Mutual Funds - AIF Category III,70,1493704.8,21338.64
India Opportunities Fund,Tremis Capital US Fund II LLC,INE09,Mutual Funds - AIF Category III,51500,51500,1
