TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,BSE,IDO,855969,,SENSEX,,2026-04-30,2026-04-30,73700.00,PE,SENSEX26APR73700PE,3000.00,3075.00,2075.10,2086.95,2075.10,1798.00,73319.55,2086.95,180,0,160,12171705.00,7,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,856233,,SENSEX,,2026-04-30,2026-04-30,73600.00,CE,SENSEX26APR73600CE,1548.20,2034.10,1510.00,2026.90,2026.90,2131.85,73319.55,1877.40,120,-100,220,16571944.00,10,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858928,,SENSEX,,2026-04-30,2026-04-30,71900.00,CE,SENSEX26APR71900CE,2282.70,2541.35,2282.70,2512.50,2512.50,3370.70,73319.55,2828.95,340,340,380,28268204.00,9,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,859214,,SENSEX,,2026-04-30,2026-04-30,71600.00,CE,SENSEX26APR71600CE,2442.05,3448.10,2442.05,3422.30,3396.45,3546.65,73319.55,3422.30,100,100,220,16335451.00,10,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,863810,,SENSEX,,2026-04-02,2026-04-02,84300.00,CE,SENSEX2640284300CE,0.90,2.65,0.05,73319.55,0.10,0.65,73319.55,73319.55,1600,-320,11740,989688148.00,165,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,863843,,SENSEX,,2026-04-02,2026-04-02,76900.00,PE,SENSEX2640276900PE,5500.00,5500.00,5292.75,73319.55,5334.40,3754.45,73319.55,73319.55,6580,0,200,16446802.00,10,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,863949,,SENSEX,,2026-04-02,2026-04-02,80100.00,CE,SENSEX2640280100CE,1.10,3.80,0.05,73319.55,0.10,1.10,73319.55,73319.55,7640,-4640,26820,2148296928.00,354,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864121,,SENSEX,,2026-04-02,2026-04-02,79800.00,CE,SENSEX2640279800CE,2.65,2.65,0.05,73319.55,0.10,1.25,73319.55,73319.55,11120,-5300,94080,7507639801.00,1019,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864167,,SENSEX,,2026-04-02,2026-04-02,82100.00,CE,SENSEX2640282100CE,1.05,1.30,0.05,73319.55,0.15,0.85,73319.55,73319.55,1860,-220,1640,134644735.00,56,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864202,,SENSEX,,2026-04-02,2026-04-02,89100.00,CE,SENSEX2640289100CE,0.50,0.65,0.40,73319.55,0.40,0.70,73319.55,73319.55,100,0,260,23166146.00,3,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864355,,SENSEX,,2026-04-02,2026-04-02,75200.00,PE,SENSEX2640275200PE,4000.00,4000.00,1840.00,73319.55,1885.00,2049.40,73319.55,73319.55,9400,-2140,5180,402707756.00,193,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864373,,SENSEX,,2026-04-02,2026-04-02,81500.00,PE,SENSEX2640281500PE,9814.85,9814.85,8110.00,73319.55,8110.00,8353.40,73319.55,73319.55,100,0,140,12680860.00,6,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864386,,SENSEX,,2026-04-02,2026-04-02,75100.00,CE,SENSEX2640275100CE,29.45,29.45,0.05,73319.55,0.05,53.80,73319.55,73319.55,397680,107440,8957500,672721771306.00,71200,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864396,,SENSEX,,2026-04-02,2026-04-02,87400.00,CE,SENSEX2640287400CE,0.40,0.85,0.05,73319.55,0.20,0.05,73319.55,73319.55,240,20,7880,688715015.00,35,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864403,,SENSEX,,2026-04-02,2026-04-02,83700.00,CE,SENSEX2640283700CE,0.90,0.90,0.05,73319.55,0.15,0.75,73319.55,73319.55,6100,-2920,11020,922378124.00,116,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864449,,SENSEX,,2026-04-02,2026-04-02,79000.00,CE,SENSEX2640279000CE,1.90,1.90,0.05,73319.55,0.05,1.40,73319.55,73319.55,287040,-381220,3210020,253592852279.00,11195,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864491,,SENSEX,,2026-04-02,2026-04-02,81000.00,PE,SENSEX2640281000PE,9290.00,9445.35,7618.60,73319.55,7713.00,7850.00,73319.55,73319.55,1400,-2360,3860,345474485.00,106,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864510,,SENSEX,,2026-04-02,2026-04-02,79200.00,CE,SENSEX2640279200CE,2.15,2.45,0.05,73319.55,0.05,1.20,73319.55,73319.55,26400,-9040,252460,19994971030.00,2092,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864538,,SENSEX,,2026-04-02,2026-04-02,79500.00,PE,SENSEX2640279500PE,7710.00,7791.15,6183.05,73319.55,6183.05,6293.30,73319.55,73319.55,3500,-2300,6220,537262262.00,98,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,864584,,SENSEX,,2026-04-02,2026-04-02,89400.00,CE,SENSEX2640289400CE,0.40,0.40,0.40,73319.55,0.40,0.65,73319.55,73319.55,200,0,240,21456096.00,2,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,848693,,BANKEX,,2026-04-30,2026-04-30,60800.00,CE,BANKEX26APR60800CE,500.60,500.60,467.40,497.80,497.80,802.55,58009.41,1009.00,180,120,360,22063138.50,7,F1,30,,,,,
