Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
India Futures and Options,5.63% GS 2026,IN0020210012,Bonds / Debentures - GOI Security,"272,000","27,200,000.00",100
India Futures and Options,NIFTY50 - Put - 28/04/2026 - 22500,,Options - Index,715,"541,112.00",756.8
