Account Name,Security,symbol,expiry,strike,opt_type,inst_type,Security Type Detail,Holding Quantity,Market Value,rate
SP Global Opportunities Fund,Jpmorgan Chase & Co. - Put - 15/05/2026 - 215,US46625H1005,15-05-26,215,PE,OPTSTK,Options - Stock,100,79.5,0.795
SP Global Opportunities Fund,Blackstone Inc. - Put - 15/05/2026 - 75,US09260D1072,15-05-26,75,PE,OPTSTK,Options - Stock,100,54.67,0.5467
