Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate,Buy Rate
India Alpha 200,Bharat Forge Ltd.,INE465A01025,Shares - Listed,341,571038.6,1674.6,1731.53
India Alpha 200,Cummins India Ltd.,INE298A01020,Shares - Listed,95,427509.5,4500.1,4498.71
India Alpha 200,Hitachi Energy India Ltd.,INE07Y701011,Shares - Listed,32,775520,24235,24911.81
