INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,ADANIPOWER,25-Aug-2026,0,,223.95,224.31,218.06,218.6,218.6,77,603.2302,923000,3550,11-Jun-2026
FUTSTK,ALKEM,30-Jun-2026,0,,5240,5349.5,5240,5318,5318,823,5478.2681,1360375,1625,11-Jun-2026
FUTSTK,ALKEM,28-Jul-2026,0,,5324,5366,5324,5337.5,5337.5,21,140.2294,12500,625,11-Jun-2026
FUTSTK,ALKEM,25-Aug-2026,0,,0,0,0,5330,5375,0,0,2125,0,11-Jun-2026
FUTSTK,AMBER,30-Jun-2026,0,,7575.5,7617.5,7287.5,7318.5,7318.5,5501,40978.3515,2606200,178400,11-Jun-2026
FUTSTK,AMBER,28-Jul-2026,0,,7591.5,7604,7330,7355.5,7355.5,409,3042.7405,37400,22400,11-Jun-2026
FUTSTK,AMBER,25-Aug-2026,0,,7600,7600,7350,7350,7350,10,74.644,800,400,11-Jun-2026
FUTSTK,AMBUJACEM,30-Jun-2026,0,,407.95,409.5,403.9,405.3,405.3,1939,8266.9797,72341850,-84000,11-Jun-2026
FUTSTK,AMBUJACEM,28-Jul-2026,0,,408,411.5,407,407.95,407.95,158,775.8396,6150000,70800,11-Jun-2026
FUTSTK,AMBUJACEM,25-Aug-2026,0,,410,413.65,409,409.35,409.35,21,103.5894,372000,15600,11-Jun-2026
FUTSTK,ANGELONE,30-Jun-2026,0,,328.05,335.75,322.75,325.1,325.1,2128,17454.8738,21617500,810000,11-Jun-2026
FUTSTK,ANGELONE,28-Jul-2026,0,,326.1,336.9,324.15,326.3,326.3,101,834.1063,837500,17500,11-Jun-2026
FUTSTK,ANGELONE,25-Aug-2026,0,,334.5,335.6,326.9,326.95,326.95,11,91.1238,122500,0,11-Jun-2026
FUTSTK,APLAPOLLO,30-Jun-2026,0,,1767.4,1784,1753.6,1770,1770,1338,8286.081,5572000,47950,11-Jun-2026
FUTSTK,APLAPOLLO,28-Jul-2026,0,,1779.1,1789.1,1765,1775.4,1775.4,65,403.934,104300,9450,11-Jun-2026
FUTSTK,APLAPOLLO,25-Aug-2026,0,,1780.4,1785.5,1769,1779,1788.4,12,74.6435,23450,3850,11-Jun-2026
FUTSTK,APOLLOHOSP,30-Jun-2026,0,,8505,8567,8463,8527.5,8527.5,1575,16770.8925,2001500,30000,11-Jun-2026
FUTSTK,APOLLOHOSP,28-Jul-2026,0,,8540,8600,8500,8570,8570,245,2624.4706,241875,4875,11-Jun-2026
FUTSTK,APOLLOHOSP,25-Aug-2026,0,,8575,8624,8532.5,8564,8610.5,37,396.4081,8500,-750,11-Jun-2026
FUTSTK,ASHOKLEY,30-Jun-2026,0,,141.3,141.3,138.57,139.33,139.33,4099,28618.5675,199005000,-955000,11-Jun-2026
FUTSTK,ASHOKLEY,28-Jul-2026,0,,141.5,141.8,139.5,139.96,139.96,652,4576.256,14825000,935000,11-Jun-2026
FUTSTK,ASHOKLEY,25-Aug-2026,0,,141.3,142.47,140.1,140.72,140.72,131,924.007,2975000,365000,11-Jun-2026
FUTSTK,ASIANPAINT,30-Jun-2026,0,,2680.1,2687,2660,2674.6,2674.6,2512,16787.6143,10127000,58000,11-Jun-2026
FUTSTK,ASIANPAINT,28-Jul-2026,0,,2682.1,2698,2676.7,2691.5,2691.5,165,1109.1398,296500,3000,11-Jun-2026
FUTSTK,ASIANPAINT,25-Aug-2026,0,,2695.9,2704.7,2695.9,2704.7,2704.7,6,40.4923,20500,0,11-Jun-2026
