FUTSTK,ADANIPORTS,27-Mar-2025,0,,1179.05,1204.4,1168,1190.75,1190.75,12107,57731.9778,20240000,-1026800,21-Mar-2025
FUTSTK,ADANIPORTS,24-Apr-2025,0,,1190,1212.15,1181.45,1198.55,1198.55,6321,30344.8126,5012400,1742400,21-Mar-2025
FUTSTK,ADANIPORTS,29-May-2025,0,,1195,1219.95,1190,1204.7,1204.7,1470,7123.5188,1317200,7200,21-Mar-2025
FUTSTK,ALKEM,27-Mar-2025,0,,4940.95,5016.15,4902.15,4985.7,4985.7,2219,11043.2696,790500,-50100,21-Mar-2025
FUTSTK,ALKEM,24-Apr-2025,0,,4902.45,5017.25,4902.45,4995,4995,1028,5116.8375,124000,40100,21-Mar-2025
FUTSTK,ALKEM,29-May-2025,0,,4951,5006.5,4935,4998,4998,12,59.6572,3200,300,21-Mar-2025
FUTSTK,AMBUJACEM,27-Mar-2025,0,,508.15,517.5,504.95,515.3,515.3,5873,27108.1967,26729100,-994500,21-Mar-2025
FUTSTK,AMBUJACEM,24-Apr-2025,0,,510.15,520.85,509,518.85,518.85,3177,14766.6078,4710600,1703700,21-Mar-2025
FUTSTK,AMBUJACEM,29-May-2025,0,,513.2,523.8,513,522.25,522.25,135,630.7439,377100,67500,21-Mar-2025
FUTSTK,ANGELONE,27-Mar-2025,0,,2200.25,2281.45,2200.25,2253.35,2253.35,8318,37492.3005,4112800,-348600,21-Mar-2025
FUTSTK,ANGELONE,24-Apr-2025,0,,2118.8,2170,2112.55,2147.85,2147.85,5035,21629.0948,1278200,195800,21-Mar-2025
FUTSTK,ANGELONE,29-May-2025,0,,2093.25,2101.4,2050,2083.85,2083.85,267,1111.2704,152000,9000,21-Mar-2025
FUTSTK,APLAPOLLO,27-Mar-2025,0,,1518.95,1520.6,1491.75,1510.25,1510.25,3089,16306.9958,3314500,-327950,21-Mar-2025
FUTSTK,APLAPOLLO,24-Apr-2025,0,,1521.35,1530.2,1501.1,1520.65,1520.65,1964,10436.7338,779450,560350,21-Mar-2025
FUTSTK,APLAPOLLO,29-May-2025,0,,0,0,0,1510,1530.25,0,0,4550,0,21-Mar-2025
FUTSTK,APOLLOHOSP,27-Mar-2025,0,,6450.1,6625,6450.1,6609.55,6609.55,4902,40349.6236,2347500,-225000,21-Mar-2025
FUTSTK,APOLLOHOSP,24-Apr-2025,0,,6447.2,6668.05,6447.2,6657.25,6657.25,2026,16800.3191,283375,170125,21-Mar-2025
FUTSTK,APOLLOHOSP,29-May-2025,0,,6576,6699.15,6565.15,6685,6685,42,350.2471,4375,875,21-Mar-2025
FUTSTK,APOLLOTYRE,27-Mar-2025,0,,426,428.1,422.3,425.4,425.4,2741,19807.0732,9819200,-323000,21-Mar-2025
FUTSTK,APOLLOTYRE,24-Apr-2025,0,,426.1,429.05,423.75,426.6,426.6,1096,7938.4883,1535100,499800,21-Mar-2025
FUTSTK,APOLLOTYRE,29-May-2025,0,,427,428.6,425,427.1,427.1,34,246.8205,113900,17000,21-Mar-2025
FUTSTK,ASHOKLEY,27-Mar-2025,0,,205.7,212.2,204.51,210.37,210.37,7960,41781.0753,46572500,-2982500,21-Mar-2025
FUTSTK,ASHOKLEY,24-Apr-2025,0,,205,211.06,204.77,209.81,209.81,3759,19671.6445,12420000,2637500,21-Mar-2025
FUTSTK,ASHOKLEY,29-May-2025,0,,206.49,210.5,206.49,209.6,209.6,106,552.308,592500,-37500,21-Mar-2025
FUTSTK,ASIANPAINT,27-Mar-2025,0,,2291.75,2314.9,2280.85,2301.1,2301.1,8480,39041.4743,12679200,-331200,21-Mar-2025
FUTSTK,ASIANPAINT,24-Apr-2025,0,,2302.1,2330.85,2294.85,2316.7,2316.7,4342,20124.3049,1465600,445000,21-Mar-2025
