INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ADANIPOWER,30-Jun-2026,0,,156.25,162.5,153.43,162.4,162.4,34,191.9368,106500,92300,02-APR-2026,
FUTSTK,ALKEM,28-Apr-2026,0,,5205.5,5281.5,5084.5,5263,5263,1040,6737.1994,1148500,750,02-APR-2026,
FUTSTK,ALKEM,26-May-2026,0,,5187,5304,5130.5,5293.5,5293.5,22,143.6856,3125,875,02-APR-2026,
FUTSTK,ALKEM,30-Jun-2026,0,,0,0,0,5396,5329,0,0,0,0,02-APR-2026,
FUTSTK,AMBER,28-Apr-2026,0,,6460,6460,6087.5,6196.5,6196.5,4165,25698.529,1078600,99600,02-APR-2026,
FUTSTK,AMBER,26-May-2026,0,,6240.5,6253,6022,6116.5,6116.5,222,1352.526,28300,5200,02-APR-2026,
FUTSTK,AMBER,30-Jun-2026,0,,6096.5,6134,6096.5,6115,6115,2,12.2305,300,200,02-APR-2026,
FUTSTK,AMBUJACEM,28-Apr-2026,0,,413.6,421.95,407.6,419.85,419.85,4364,19004.1679,53501700,-563850,02-APR-2026,
FUTSTK,AMBUJACEM,26-May-2026,0,,414.55,424.55,409.9,421.9,421.9,82,359.3436,7192500,12600,02-APR-2026,
FUTSTK,AMBUJACEM,30-Jun-2026,0,,415.75,422.3,413.75,419.15,424.1,15,65.6397,18900,12600,02-APR-2026,
FUTSTK,ANGELONE,28-Apr-2026,0,,235,241.09,227.21,239.87,239.87,3453,20313.5023,21985000,-160000,02-APR-2026,
FUTSTK,ANGELONE,26-May-2026,0,,234.48,241.19,227.99,239.69,239.69,237,1399.4103,1052500,180000,02-APR-2026,
FUTSTK,ANGELONE,30-Jun-2026,0,,231.81,239.99,230,236.65,244.1,18,106.229,20000,7500,02-APR-2026,
FUTSTK,APLAPOLLO,28-Apr-2026,0,,1927,1927.5,1839,1909.3,1909.3,1902,12487.8992,4896150,105350,02-APR-2026,
FUTSTK,APLAPOLLO,26-May-2026,0,,1886.8,1926.8,1853.6,1918.7,1918.7,45,297.9795,42350,4550,02-APR-2026,
FUTSTK,APLAPOLLO,30-Jun-2026,0,,1872,1872,1872,1872,1924.8,1,6.552,1050,350,02-APR-2026,
FUTSTK,APOLLOHOSP,28-Apr-2026,0,,7265.5,7384.5,7182,7344,7344,2515,22924.93,2468625,23750,02-APR-2026,
FUTSTK,APOLLOHOSP,26-May-2026,0,,7300,7410,7228,7389,7389,132,1206.59,40000,6625,02-APR-2026,
FUTSTK,APOLLOHOSP,30-Jun-2026,0,,7290,7290,7290,7290,7416.5,1,9.1125,875,125,02-APR-2026,
FUTSTK,ASHOKLEY,28-Apr-2026,0,,146.9,149.15,143.6,148.61,148.61,9120,66764.447,158845000,5475000,02-APR-2026,
FUTSTK,ASHOKLEY,26-May-2026,0,,146.48,148.94,143.55,148.21,148.21,1535,11241.001,5570000,-1920000,02-APR-2026,
FUTSTK,ASHOKLEY,30-Jun-2026,0,,146.41,148,143.39,147.99,147.99,88,640.05,320000,150000,02-APR-2026,
FUTSTK,ASIANPAINT,28-Apr-2026,0,,2190,2190,2152.9,2180.8,2180.8,6280,34113.256,13132250,26250,02-APR-2026,
FUTSTK,ASIANPAINT,26-May-2026,0,,2197,2198.8,2165.9,2193.9,2193.9,575,3139.7393,946000,90250,02-APR-2026,
FUTSTK,ASIANPAINT,30-Jun-2026,0,,2159.3,2189.3,2159.3,2184.8,2184.8,82,446.1205,23250,11250,02-APR-2026,
FUTSTK,ASTRAL,28-Apr-2026,0,,1490,1530.6,1431.2,1511.5,1511.5,5879,37028.3209,8863375,-48450,02-APR-2026,
FUTSTK,ASTRAL,26-May-2026,0,,1511.6,1511.6,1405,1481.3,1481.3,170,1050.249,130475,13600,02-APR-2026,
FUTSTK,ASTRAL,30-Jun-2026,0,,1440,1440,1438.8,1438.8,1574.6,5,30.58,3400,2125,02-APR-2026,
FUTSTK,AUBANK,28-Apr-2026,0,,861,874.45,836.1,870.65,870.65,4579,38965.6905,25301000,451000,02-APR-2026,
FUTSTK,AUBANK,26-May-2026,0,,879.3,879.3,842,875.5,875.5,254,2172.8775,378000,19000,02-APR-2026,
FUTSTK,AUBANK,30-Jun-2026,0,,847.55,884.7,847.55,881.7,881.7,40,345.8205,35000,35000,02-APR-2026,
FUTSTK,AUROPHARMA,28-Apr-2026,0,,1339.8,1344.7,1269.6,1339.4,1339.4,5112,36785.1017,20422050,334400,02-APR-2026,
FUTSTK,AUROPHARMA,26-May-2026,0,,1310.5,1348.3,1280,1344.8,1344.8,46,332.7962,68200,1100,02-APR-2026,
FUTSTK,AUROPHARMA,30-Jun-2026,0,,1309.6,1350,1281,1350,1350,17,123.1439,3300,2200,02-APR-2026,
FUTSTK,AXISBANK,28-Apr-2026,0,,1180,1205.1,1156.3,1201.7,1201.7,15215,112361.245,57891875,-85625,02-APR-2026,
FUTSTK,AXISBANK,26-May-2026,0,,1175,1211.8,1162.8,1208.6,1208.6,644,4784.8794,13030000,236875,02-APR-2026,
FUTSTK,AXISBANK,30-Jun-2026,0,,1179.6,1221,1171,1217.6,1217.6,130,969.9925,81250,54375,02-APR-2026,
FUTSTK,BAJAJ-AUTO,28-Apr-2026,0,,8844,8846.5,8600,8736.5,8736.5,4852,31659.2614,3469725,51000,02-APR-2026,
FUTSTK,BAJAJ-AUTO,26-May-2026,0,,8675,8792,8596.5,8734.5,8734.5,239,1559.0985,33600,4275,02-APR-2026,
FUTSTK,BAJAJ-AUTO,30-Jun-2026,0,,8739,8751,8580,8735,8877,26,169.5008,2100,1125,02-APR-2026,
FUTSTK,BAJAJFINSV,28-Apr-2026,0,,1642,1649.9,1605.6,1645.7,1645.7,4501,18348.3165,9989000,65750,02-APR-2026,
FUTSTK,BAJAJFINSV,26-May-2026,0,,1650,1658.9,1616.2,1655.2,1655.2,315,1286.0443,1400250,28000,02-APR-2026,
FUTSTK,BAJAJFINSV,30-Jun-2026,0,,1686.4,1686.4,1627,1652.5,1662.9,26,106.7488,4750,3500,02-APR-2026,
FUTSTK,BAJAJHLDNG,28-Apr-2026,0,,8600,9063,8600,9034,9034,677,2995.954,235500,3550,02-APR-2026,
FUTSTK,BAJAJHLDNG,26-May-2026,0,,8731.5,9116.5,8729,9092,9092,23,103.0683,28850,500,02-APR-2026,
FUTSTK,BAJAJHLDNG,30-Jun-2026,0,,0,0,0,8906,9114,0,0,0,0,02-APR-2026,
FUTSTK,BAJFINANCE,28-Apr-2026,0,,812.2,832.95,795.3,830,830,15192,93030.6484,69036000,20250,02-APR-2026,
FUTSTK,BAJFINANCE,26-May-2026,0,,801.3,838,800.4,834.3,834.3,3312,20491.7359,2871000,-691500,02-APR-2026,
FUTSTK,BAJFINANCE,30-Jun-2026,0,,807,836.35,802.4,833.85,833.85,220,1348.3159,60750,30750,02-APR-2026,
FUTSTK,BANDHANBNK,28-Apr-2026,0,,145.54,148.69,140.8,147.45,147.45,4897,25600.9993,82677600,1670400,02-APR-2026,
FUTSTK,BANDHANBNK,26-May-2026,0,,142.72,149.3,142.44,148.29,148.29,148,769.0331,3009600,324000,02-APR-2026,
FUTSTK,BANDHANBNK,30-Jun-2026,0,,143.99,149,143.66,148.83,148.83,40,209.3954,86400,57600,02-APR-2026,
FUTSTK,BANKBARODA,28-Apr-2026,0,,249.2,252.3,242.26,251.07,251.07,7243,52284.8687,103003875,29250,02-APR-2026,
FUTSTK,BANKBARODA,26-May-2026,0,,250,253.79,243.77,252.4,252.4,981,7118.7193,2483325,-1468350,02-APR-2026,
FUTSTK,BANKBARODA,30-Jun-2026,0,,250.2,255.51,245.82,254.3,254.3,125,911.8995,318825,248625,02-APR-2026,
FUTSTK,BANKINDIA,28-Apr-2026,0,,138.13,140.39,134.73,139.81,139.81,2321,16608.2119,50668800,-306800,02-APR-2026,
FUTSTK,BANKINDIA,26-May-2026,0,,138.52,141.36,135.53,140.79,140.79,85,610.9589,832000,109200,02-APR-2026,
FUTSTK,BANKINDIA,30-Jun-2026,0,,138.5,140.95,137.05,140.42,140.42,17,122.3248,62400,36400,02-APR-2026,
FUTSTK,BDL,28-Apr-2026,0,,1181,1189.5,1162.6,1182.1,1182.1,4875,20073.963,3882900,-72800,02-APR-2026,
FUTSTK,BDL,26-May-2026,0,,1166,1178.5,1154,1172.6,1172.6,245,999.3928,297500,4200,02-APR-2026,
FUTSTK,BDL,30-Jun-2026,0,,1148.3,1173.7,1147.3,1167,1167,20,81.0425,9800,4200,02-APR-2026,
FUTSTK,BEL,28-Apr-2026,0,,418,424.9,408.7,422.65,422.65,11586,68968.969,101286150,656925,02-APR-2026,
FUTSTK,BEL,26-May-2026,0,,419.75,427,411.3,425.15,425.15,1322,7928.7185,4913400,662625,02-APR-2026,
FUTSTK,BEL,30-Jun-2026,0,,418.55,429.25,414.95,427.5,427.5,271,1627.07,380475,149625,02-APR-2026,
FUTSTK,BHARATFORG,28-Apr-2026,0,,1628.5,1659,1612.8,1645.6,1645.6,3348,27408.0495,7564500,46500,02-APR-2026,
FUTSTK,BHARATFORG,26-May-2026,0,,1628.1,1652.8,1615,1648,1648,78,638.8385,81000,5000,02-APR-2026,
FUTSTK,BHARATFORG,30-Jun-2026,0,,1646.3,1653,1641,1653,1664.8,5,41.165,2000,1500,02-APR-2026,
FUTSTK,BHARTIARTL,28-Apr-2026,0,,1777.6,1804,1755.8,1796.8,1796.8,16605,140147.6357,51925575,-48925,02-APR-2026,
FUTSTK,BHARTIARTL,26-May-2026,0,,1790,1813.1,1765,1807.3,1807.3,1294,10965.0862,6756400,304950,02-APR-2026,
FUTSTK,BHARTIARTL,30-Jun-2026,0,,1786.1,1823.2,1775.8,1815.7,1815.7,1041,8859.6335,489725,470725,02-APR-2026,
FUTSTK,BHEL,28-Apr-2026,0,,249.5,249.94,241.5,248.76,248.76,6675,43164.3374,97749750,-960750,02-APR-2026,
FUTSTK,BHEL,26-May-2026,0,,254,254,243,249.79,249.79,826,5417.4553,1383375,-1548750,02-APR-2026,
FUTSTK,BHEL,30-Jun-2026,0,,249.5,252,244.48,251.49,251.49,64,417.0973,65625,55125,02-APR-2026,
FUTSTK,BIOCON,28-Apr-2026,0,,361.15,361.15,343,354.4,354.4,3618,31678.4975,31112500,137500,02-APR-2026,
FUTSTK,BIOCON,26-May-2026,0,,359.5,360,345.3,355.8,355.8,309,2725.0913,912500,12500,02-APR-2026,
FUTSTK,BIOCON,30-Jun-2026,0,,354.35,358.55,348,358,358,20,176.2313,37500,27500,02-APR-2026,
FUTSTK,BLUESTARCO,28-Apr-2026,0,,1517.4,1539.6,1442.9,1530.5,1530.5,3769,18298.9547,2403375,-39325,02-APR-2026,
FUTSTK,BLUESTARCO,26-May-2026,0,,1518.1,1530.9,1441.4,1526.9,1526.9,135,650.5792,35750,3250,02-APR-2026,
FUTSTK,BLUESTARCO,30-Jun-2026,0,,1508.9,1520,1508.9,1520,1548.9,5,24.5564,1300,650,02-APR-2026,
FUTSTK,BOSCHLTD,28-Apr-2026,0,,30770,32455,30025,32315,32315,5641,44443.6688,284150,14600,02-APR-2026,
FUTSTK,BOSCHLTD,26-May-2026,0,,30325,32570,30325,32445,32445,129,1020.1388,4850,175,02-APR-2026,
FUTSTK,BOSCHLTD,30-Jun-2026,0,,31780,32460,31780,32460,32570,5,40.3388,150,75,02-APR-2026,
FUTSTK,BPCL,28-Apr-2026,0,,275.1,280.25,267,278.65,278.65,6965,37612.9073,48379600,-2178425,02-APR-2026,
FUTSTK,BPCL,26-May-2026,0,,273.9,281,269,280.45,280.45,2560,13914.2117,819625,-2364075,02-APR-2026,
FUTSTK,BPCL,30-Jun-2026,0,,283,283,270,280.85,280.85,32,174.0627,55300,21725,02-APR-2026,
FUTSTK,BRITANNIA,28-Apr-2026,0,,5432.5,5494.5,5375.5,5470,5470,3479,23628.1106,2715750,153125,02-APR-2026,
FUTSTK,BRITANNIA,26-May-2026,0,,5520,5527.5,5405,5506.5,5506.5,51,348.5319,36625,1875,02-APR-2026,
FUTSTK,BRITANNIA,30-Jun-2026,0,,5475.5,5529,5428,5529,5515.5,5,34.2775,625,250,02-APR-2026,
FUTSTK,BSE,28-Apr-2026,0,,2832,2877.1,2770.4,2865.9,2865.9,7618,80636.8954,6746250,77625,02-APR-2026,
FUTSTK,BSE,26-May-2026,0,,2824.3,2875,2770.3,2863.4,2863.4,369,3904.44,327375,6375,02-APR-2026,
FUTSTK,BSE,30-Jun-2026,0,,2825,2883.4,2787.4,2873.6,2873.6,59,625.8529,17250,4125,02-APR-2026,
FUTSTK,CAMS,28-Apr-2026,0,,644.1,661.3,626.05,658.25,658.25,2130,10262.5669,5511000,411000,02-APR-2026,
FUTSTK,CAMS,26-May-2026,0,,635,659.05,627.2,656.7,656.7,270,1288.5491,280500,42750,02-APR-2026,
FUTSTK,CAMS,30-Jun-2026,0,,635,657,629,657,657,24,115.02,16500,13500,02-APR-2026,
FUTSTK,CANBK,28-Apr-2026,0,,124.55,128,121.9,127.39,127.39,5948,49960.2938,202506750,2254500,02-APR-2026,
FUTSTK,CANBK,26-May-2026,0,,124.01,128.77,122.9,128.16,128.16,278,2349.3625,5852250,209250,02-APR-2026,
FUTSTK,CANBK,30-Jun-2026,0,,127,129.58,123.7,129.08,129.08,97,827.5635,378000,290250,02-APR-2026,
FUTSTK,CDSL,28-Apr-2026,0,,1158,1178,1128.4,1173.4,1173.4,3350,18291.4857,9719450,353875,02-APR-2026,
FUTSTK,CDSL,26-May-2026,0,,1143,1169.8,1123,1165.4,1165.4,646,3506.2795,899650,55100,02-APR-2026,
FUTSTK,CDSL,30-Jun-2026,0,,1141,1163.1,1121.4,1161,1161,134,727.4288,61275,37050,02-APR-2026,
FUTSTK,CGPOWER,28-Apr-2026,0,,670,687.4,658.45,683.6,683.6,2154,12318.3194,18307300,518500,02-APR-2026,
FUTSTK,CGPOWER,26-May-2026,0,,673,690.45,663,687.85,687.85,62,355.745,124950,11900,02-APR-2026,
FUTSTK,CGPOWER,30-Jun-2026,0,,674.15,690,670.15,690,690,7,40.551,2550,850,02-APR-2026,
FUTSTK,CHOLAFIN,28-Apr-2026,0,,1350,1367.4,1303.2,1361,1361,4835,40248.3925,19616875,625625,02-APR-2026,
FUTSTK,CHOLAFIN,26-May-2026,0,,1333.4,1374.4,1312,1368.9,1368.9,66,553.8981,398750,10000,02-APR-2026,
FUTSTK,CHOLAFIN,30-Jun-2026,0,,1334.8,1371,1315.5,1371,1371,14,116.8306,6875,625,02-APR-2026,
FUTSTK,CIPLA,28-Apr-2026,0,,1199,1202,1171.1,1198.8,1198.8,5080,22711.3826,13115250,382500,02-APR-2026,
FUTSTK,CIPLA,26-May-2026,0,,1194.5,1209.4,1178.4,1206.4,1206.4,575,2580.2704,902625,125250,02-APR-2026,
FUTSTK,CIPLA,30-Jun-2026,0,,1221.2,1221.2,1182.2,1209,1208.5,29,130.155,25125,750,02-APR-2026,
FUTSTK,COALINDIA,28-Apr-2026,0,,451,451.75,441,449.15,449.15,5712,34485.5462,51764400,78300,02-APR-2026,
FUTSTK,COALINDIA,26-May-2026,0,,449.3,451.65,443,450.6,450.6,265,1601.4247,810000,105300,02-APR-2026,
FUTSTK,COALINDIA,30-Jun-2026,0,,451,453.6,445,452.5,452.5,36,218.7992,25650,12150,02-APR-2026,
FUTSTK,COCHINSHIP,28-Apr-2026,0,,1310,1312.4,1260,1305.9,1305.9,1976,10154.5284,573600,259600,02-APR-2026,
FUTSTK,COCHINSHIP,26-May-2026,0,,1300,1307.7,1260.1,1307.6,1307.6,223,1137.4084,128400,19200,02-APR-2026,
FUTSTK,COCHINSHIP,30-Jun-2026,0,,1282,1299,1267.8,1296,1332.3,11,56.216,4800,1600,02-APR-2026,
FUTSTK,COFORGE,28-Apr-2026,0,,1142.8,1237.9,1132,1216.6,1216.6,14400,64655.5339,17959500,-1126125,02-APR-2026,
FUTSTK,COFORGE,26-May-2026,0,,1143,1239.7,1135.6,1219.2,1219.2,803,3620.6719,606750,-1500,02-APR-2026,
FUTSTK,COFORGE,30-Jun-2026,0,,1168,1245,1168,1225.6,1225.6,96,436.7273,19875,5250,02-APR-2026,
FUTSTK,COLPAL,28-Apr-2026,0,,1806,1841,1791.3,1836.3,1836.3,1572,6443.6686,6131250,45900,02-APR-2026,
FUTSTK,COLPAL,26-May-2026,0,,1809,1839.5,1792,1834.4,1834.4,145,591.6328,223650,1800,02-APR-2026,
FUTSTK,COLPAL,30-Jun-2026,0,,1800,1843,1800,1840.9,1840.9,38,156.4056,9225,7425,02-APR-2026,
FUTSTK,CONCOR,28-Apr-2026,0,,438.2,442.9,430.9,441.3,441.3,1367,7458.475,25046250,155000,02-APR-2026,
FUTSTK,CONCOR,26-May-2026,0,,436.3,444.75,434.5,444.05,444.05,88,482.4306,780000,52500,02-APR-2026,
FUTSTK,CONCOR,30-Jun-2026,0,,439.35,439.35,439.35,439.35,445.2,1,5.4919,7500,0,02-APR-2026,
FUTSTK,CROMPTON,28-Apr-2026,0,,227,233.38,225.15,232.43,232.43,1930,7966.4508,46323000,-295200,02-APR-2026,
FUTSTK,CROMPTON,26-May-2026,0,,228,234.5,226.51,233.59,233.59,26,107.9514,736200,10800,02-APR-2026,
FUTSTK,CROMPTON,30-Jun-2026,0,,230.64,235.9,228,235.29,235.29,9,37.6558,21600,14400,02-APR-2026,
FUTSTK,CUMMINSIND,28-Apr-2026,0,,4593.9,4692,4480.1,4668.3,4668.3,3443,31616.1346,3351200,-22000,02-APR-2026,
FUTSTK,CUMMINSIND,26-May-2026,0,,4552.2,4713.3,4511,4688.7,4688.7,102,941.32,20400,5200,02-APR-2026,
FUTSTK,CUMMINSIND,30-Jun-2026,0,,4535,4626,4524.1,4626,4709.2,4,36.6222,800,200,02-APR-2026,
FUTSTK,DABUR,28-Apr-2026,0,,390.05,421.15,390.05,419.45,419.45,2993,15457.6913,30878750,32500,02-APR-2026,
FUTSTK,DABUR,26-May-2026,0,,410,423.2,408,420.8,420.8,126,654.115,545000,33750,02-APR-2026,
FUTSTK,DABUR,30-Jun-2026,0,,411.95,425.05,410.75,423.3,423.3,23,119.2369,21250,13750,02-APR-2026,
FUTSTK,DALBHARAT,28-Apr-2026,0,,1810,1811.4,1755.2,1797.1,1797.1,982,5701.866,2099825,-1625,02-APR-2026,
FUTSTK,DALBHARAT,26-May-2026,0,,1790,1792.5,1768.5,1816.4,1816.4,26,150.6538,23725,2275,02-APR-2026,
FUTSTK,DALBHARAT,30-Jun-2026,0,,0,0,0,1811.7,1818.5,0,0,0,0,02-APR-2026,
FUTSTK,DELHIVERY,28-Apr-2026,0,,426.45,429.85,417,428.15,428.15,1170,10260.1332,26786175,-33200,02-APR-2026,
FUTSTK,DELHIVERY,26-May-2026,0,,425.2,431.1,419.65,430.2,430.2,22,193.7511,124500,4150,02-APR-2026,
FUTSTK,DELHIVERY,30-Jun-2026,0,,428,430.95,424,430,432,6,53.1989,6225,2075,02-APR-2026,
FUTSTK,DIVISLAB,28-Apr-2026,0,,5890,5901,5667,5887,5887,4717,27238.984,2669600,22100,02-APR-2026,
FUTSTK,DIVISLAB,26-May-2026,0,,5843,5937,5700,5923,5923,159,925.9415,57600,3800,02-APR-2026,
FUTSTK,DIVISLAB,30-Jun-2026,0,,5805,5943.5,5745,5943.5,5943.5,25,145.636,1800,600,02-APR-2026,
FUTSTK,DIXON,28-Apr-2026,0,,10010,10350,9586.5,9817,9817,31765,156969.0055,2923250,360450,02-APR-2026,
FUTSTK,DIXON,26-May-2026,0,,9950,10300,9525,9746.5,9746.5,2345,11452.977,192150,29200,02-APR-2026,
FUTSTK,DIXON,30-Jun-2026,0,,9884.5,10170,9500,9708,9708,326,1576.4763,14100,11000,02-APR-2026,
FUTSTK,DLF,28-Apr-2026,0,,502,526.5,492,523.4,523.4,7446,31273.8422,51683775,-44550,02-APR-2026,
FUTSTK,DLF,26-May-2026,0,,498,528.15,495.25,525.25,525.25,404,1702.9337,2773650,14025,02-APR-2026,
FUTSTK,DLF,30-Jun-2026,0,,505,529.6,498.35,529.3,529.3,50,208.6202,25575,9900,02-APR-2026,
FUTSTK,DMART,28-Apr-2026,0,,4211.3,4375.7,4205.2,4343.6,4343.6,9603,61976.8709,4713900,-9300,02-APR-2026,
FUTSTK,DMART,26-May-2026,0,,4242,4350.1,4218.5,4312.2,4312.2,527,3388.2131,55650,-1200,02-APR-2026,
FUTSTK,DMART,30-Jun-2026,0,,4229,4345,4229,4315.7,4315.7,51,327.6293,6000,3750,02-APR-2026,
FUTSTK,DRREDDY,28-Apr-2026,0,,1190,1217.8,1173.5,1209.2,1209.2,7420,55790.8563,11866250,720000,02-APR-2026,
FUTSTK,DRREDDY,26-May-2026,0,,1200,1223.1,1182.2,1210.3,1210.3,524,3956.5038,281875,157500,02-APR-2026,
FUTSTK,DRREDDY,30-Jun-2026,0,,1200.9,1225,1197.9,1215.3,1215.3,35,264.4913,18750,10000,02-APR-2026,
FUTSTK,EICHERMOT,28-Apr-2026,0,,6774,6774,6601,6684,6684,5849,38967.3965,3419800,17200,02-APR-2026,
FUTSTK,EICHERMOT,26-May-2026,0,,6788,6788.5,6647,6725.5,6725.5,222,1490.589,191400,8000,02-APR-2026,
FUTSTK,EICHERMOT,30-Jun-2026,0,,6750,6807.5,6690,6759.5,6759.5,351,2357.5705,33900,33200,02-APR-2026,
FUTSTK,ETERNAL,28-Apr-2026,0,,232.8,233.55,224.5,232.16,232.16,17466,96988.3355,180594600,715375,02-APR-2026,
FUTSTK,ETERNAL,26-May-2026,0,,233.48,235.38,225.8,233.53,233.53,1998,11140.4202,11196225,1522900,02-APR-2026,
FUTSTK,ETERNAL,30-Jun-2026,0,,233,235.71,227.57,234.03,234.03,778,4404.4654,1719325,1619900,02-APR-2026,
FUTSTK,EXIDEIND,28-Apr-2026,0,,298.35,301.25,290.2,300.3,300.3,1569,8327.9907,27903600,297000,02-APR-2026,
FUTSTK,EXIDEIND,26-May-2026,0,,294.3,302.7,292.3,302.15,302.15,88,469.4814,1096200,34200,02-APR-2026,
