Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
US Active Futures and Options,Notional Amount Adj.,,Futures - Borrow/Lend,-1285137.5,-1285137.5,1
US Active Futures and Options,UVIX,US92891H6062,Mutual Funds - International Fund,2500,"21,650.00",8.66
US Active Futures and Options,SMART DIGITAL GROUP LTD,KYG5006S1049,Shares - International Stock,20000,"37,000.00",1.85
US Active Futures and Options,Meta Platforms Inc. Class A,US30303M1027,Shares - International Stock,200,114426,572.13
US Active Futures and Options,Grayscale Bitcoin Trust ETF,US3896371099,Shares - International Stock,1000,"52,760.00",52.76
US Active Futures and Options,Mastercard Incorporated,US57636Q1040,Shares - International Stock,500,"249,830.00",499.66
US Active Futures and Options,Palantir Technologies Inc.-A,US69608A1088,Shares - International Stock,1000,"146,280.00",146.28
US Active Futures and Options,Unitedhealth Group Incorporated,US91324P1021,Shares - International Stock,300,81177,270.59
