SYMBOLCODE,VALIDFROM,CLOSEINDEX,,
US92891H6062,02-04-26,8.29,,
KYG5006S1049,02-04-26,1.85,,
US30303M1027,02-04-26,574.46,,
US3896371099,02-04-26,52.15,,
US57636Q1040,02-04-26,493.44,,
US69608A1088,02-04-26,148.46,,
US91324P1021,02-04-26,277.26,,
FUT368,02-04-26,6622.25,,ES - 18/06/2026
OPT1326,02-04-26,65.5,,ES - Call - 06/04/2026 - 6590
OPT1327,02-04-26,32.25,,NQM5 - Put - 06/04/2026 - 23600
OPT1328,02-04-26,650,,NQM5 - Call - 06/04/2026 - 23600
