TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,BSE,IDO,881260,,SENSEX,,2026-04-02,2026-04-02,69500.00,PE,SENSEX2640269500PE,42.60,42.60,3.30,5.55,3.55,112.60,73134.32,5.55,813480,657180,9882220,686887637877.00,81343,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,882308,,SENSEX,,2026-04-16,2026-04-16,68300.00,PE,SENSEX2641668300PE,407.00,407.00,250.00,250.00,250.00,590.80,73134.32,290.05,0,0,340,23310540.00,7,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,883223,,SENSEX,,2026-04-02,2026-04-02,68100.00,PE,SENSEX2640268100PE,13.00,13.00,2.00,2.80,2.15,26.95,73134.32,2.80,19320,11240,198620,13526738647.00,3553,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,884445,,SENSEX,,2026-04-02,2026-04-02,67000.00,CE,SENSEX2640267000CE,6700.00,7863.60,6619.00,6641.95,6641.95,6649.90,73134.32,6144.40,40,20,100,7391505.00,5,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,884633,,SENSEX,,2026-04-09,2026-04-09,66500.00,PE,SENSEX2640966500PE,94.95,94.95,28.75,31.15,29.10,95.95,73134.32,31.15,420,380,540,35932316.00,15,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,885459,,SENSEX,,2026-04-09,2026-04-09,65400.00,PE,SENSEX2640965400PE,21.00,22.05,21.00,22.05,22.05,48.05,73134.32,22.05,60,60,80,5233701.00,2,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866409,,SENSEX,,2026-04-09,2026-04-09,74200.00,PE,SENSEX2640974200PE,1460.20,1730.00,1256.70,1630.85,1670.00,2380.00,73134.32,1630.85,2320,1580,3320,251085884.00,125,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866410,,SENSEX,,2026-04-09,2026-04-09,76500.00,PE,SENSEX2640976500PE,3000.00,3450.00,2750.00,3390.20,3329.40,4691.10,73134.32,3390.20,40040,40040,40600,3237696051.00,489,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866537,,SENSEX,,2026-04-09,2026-04-09,76100.00,CE,SENSEX2640976100CE,347.65,357.80,242.35,266.20,268.80,307.45,73134.32,266.20,1180,1180,4500,343821463.00,152,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866574,,SENSEX,,2026-04-09,2026-04-09,84000.00,CE,SENSEX2640984000CE,6.55,6.55,4.00,4.95,4.65,2.25,73134.32,4.95,7580,7580,11540,969418825.00,73,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866634,,SENSEX,,2026-04-09,2026-04-09,75200.00,CE,SENSEX2640975200CE,600.00,660.30,410.00,465.95,481.55,417.90,73134.32,465.95,3180,1660,8640,654310584.00,219,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,867554,,SENSEX,,2026-04-09,2026-04-09,72900.00,PE,SENSEX2640972900PE,1080.45,1100.00,906.70,997.65,979.45,1876.75,73134.32,997.65,2260,960,3300,243870381.00,137,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,867574,,SENSEX,,2026-04-09,2026-04-09,72800.00,CE,SENSEX2640972800CE,1800.00,1999.60,1410.00,1492.45,1515.00,1200.45,73134.32,1492.45,2220,1020,2060,153237524.00,51,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,867782,,SENSEX,,2026-04-02,2026-04-02,72800.00,CE,SENSEX2640272800CE,1050.00,1337.80,596.70,698.40,745.00,487.60,73134.32,698.40,45860,-44720,1178500,86786763682.00,35527,F1,20,,,,,
