Account Name,Security,symbol,expiry,strike,opt_type,inst_type,Security Type Detail,Holding Quantity,Market Value,rate
SP US Large Cap Momentum Opportunity Fund,Jpmorgan Chase & Co. - Put - 15/05/2026 - 220,US46625H1005,15-05-26,220,PE,OPTSTK,Options - Stock,-100,94.8,0.948
SP US Large Cap Momentum Opportunity Fund,Nvidia Corp - Put - 18/06/2026 - 125,US67066G1040,18-06-26,125,PE,OPTSTK,Options - Stock,-100,141.51,1.4151
