Account Name,Security,ISIN Code,Security Type Detail,Holding Quantity,Market Value,rate
India Private equity/Structured debt,SAMSARAH INSTATECH PVT LTD,INE01,Mutual Funds - International Fund,3000,300000,100
India Private equity/Structured debt,Fundviser Capital India Ltd,530197,Mutual Funds - AIF Category III,12500,4775000,382
India Private equity/Structured debt,Minerva ventures fund,INE02,Mutual Funds - AIF Category III,1751,679891.96,388.18
